L,p_proj,p_ctrl_index,tmi_mean,tmi_sem
12,pproj0.643,16,-0.003840425574771638,0.008277097201333945
12,pproj0.643,17,0.012812959468253126,0.006742503396772403
12,pproj0.643,18,0.028674096132809433,0.004580541982036735
12,pproj0.643,19,0.008567499187115567,0.0032697328158552935
12,pproj0.643,20,0.00864639231890745,0.002232022109301466
12,pproj0.679,0,-0.002079441541679846,0.0009793996125557268
12,pproj0.679,1,-0.0012652716932204852,0.0035273997947556477
12,pproj0.679,2,-0.015233851709172274,0.005293486188596355
12,pproj0.679,3,-0.03930871839065322,0.00643535993179146
12,pproj0.679,4,-0.05547179839977267,0.007637651656555031
12,pproj0.679,5,-0.06910720300041158,0.00852885298659651
12,pproj0.679,6,-0.08803166413078532,0.009409179304002598
12,pproj0.679,7,-0.12391154697572242,0.010319725112656854
12,pproj0.679,8,-0.1411071399121748,0.010963051053583722
12,pproj0.679,9,-0.1867001676604658,0.011574461516683657
12,pproj0.679,10,-0.21434229779337158,0.012880101451599082
12,pproj0.679,11,-0.17836784718057577,0.01182330884164227
12,pproj0.679,12,-0.18674240023692373,0.012204271128836177
12,pproj0.679,13,-0.17477326083104885,0.012179374222056059
12,pproj0.679,14,-0.09545005497291496,0.011347236576416309
12,pproj0.679,15,-0.053735774820979534,0.009853249867949429
12,pproj0.679,16,0.010028202717731895,0.007879190025441941
12,pproj0.679,17,0.03704603416130203,0.005875553113038199
12,pproj0.679,18,0.023055231247708963,0.004302504390422315
12,pproj0.679,19,0.011368663644710768,0.0028264215349778138
12,pproj0.679,20,0.008889038488908273,0.0016775077917059419
12,pproj0.714,0,-5.995204332975845e-18,7.972590611867677e-19
12,pproj0.714,1,2.2935935539365848e-05,0.0026740308444851593
12,pproj0.714,2,0.0002485303457834247,0.0045892273342193575
12,pproj0.714,3,-0.007578521162850832,0.005843356711099923
12,pproj0.714,4,0.006254411992026058,0.006219242471175721
12,pproj0.714,5,-0.025516587049815964,0.007403263965115163
12,pproj0.714,6,-0.04057325166424109,0.008138389196488254
12,pproj0.714,7,-0.057974838548126836,0.00853347314788598
12,pproj0.714,8,-0.08781423071980858,0.009774617500035745
12,pproj0.714,9,-0.11552073092342377,0.010480850830917139
12,pproj0.714,10,-0.11531736653304021,0.010861600018165486
12,pproj0.714,11,-0.12594586993521095,0.010337979068084672
12,pproj0.714,12,-0.1034372133481106,0.010647606334202971
12,pproj0.714,13,-0.1014723150204854,0.010609276294113316
12,pproj0.714,14,-0.04539166032685302,0.009933482018782497
12,pproj0.714,15,-0.013364642866457548,0.008501027712052092
12,pproj0.714,16,0.021953972317508615,0.007411244658182366
12,pproj0.714,17,0.040227749068832405,0.00535818433089926
12,pproj0.714,18,0.02617723574937489,0.0036656140371912533
12,pproj0.714,19,0.012649118563978828,0.002391770372263521
12,pproj0.714,20,0.0064710881855970705,0.0014980760908433694
12,pproj0.750,0,-0.00034657359027997543,0.0003465735902799726
12,pproj0.750,1,0.006557826000147651,0.002292272507582807
12,pproj0.750,2,0.009883638120114968,0.0040009650710692264
12,pproj0.750,3,0.007306202039073142,0.005294718565652058
12,pproj0.750,4,0.015722310290157096,0.005812482833316729
12,pproj0.750,5,0.0019647076584038167,0.006337863294399788
12,pproj0.750,6,-0.004862533869638686,0.006941882208034316
12,pproj0.750,7,-0.01574048003030326,0.007934973888500074
12,pproj0.750,8,-0.017629565774009273,0.008492310149968185
12,pproj0.750,9,-0.030189289052257047,0.008369102022783969
12,pproj0.750,10,-0.06861052086367525,0.009754305829301597
12,pproj0.750,11,-0.058190203224521925,0.009832599871866524
12,pproj0.750,12,-0.044397799688807235,0.009520509719987476
12,pproj0.750,13,-0.028818184699525243,0.00934789760682245
12,pproj0.750,14,-0.004624736007540277,0.008751157452691108
12,pproj0.750,15,0.01004036366013169,0.00778817604240967
12,pproj0.750,16,0.04168307262554398,0.006481017786030856
12,pproj0.750,17,0.03632625170807713,0.004867416517962345
12,pproj0.750,18,0.02469955638020455,0.003537555946847131
12,pproj0.750,19,0.013141197729524488,0.002401721854312382
